시즌,소속팀,이름,포지션,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA
1983,롯데 자이언츠,정영기,SS,-0.55,57,123,116,9,18,6,0,1,27,7,1,1,4,0,0,12,3,3,0,0.155,0.183,0.233,0.416,0.191,10.9,
1983,MBC 청룡,정영기,SS,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1983,롯데 자이언츠,차동열,C,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1983,MBC 청룡,차동열,C,-0.29,43,107,96,7,16,2,0,0,18,1,2,1,6,3,0,11,6,2,0,0.167,0.238,0.188,0.426,0.209,18.7,
1985,삼성 라이온즈,김한근,3B,0.21,13,17,13,0,4,2,0,0,6,1,0,1,3,1,0,1,0,0,0,0.308,0.471,0.462,0.932,0.440,180.2,
1988,태평양 돌핀스,김일환,1B,-0.52,65,113,100,5,20,2,0,0,22,8,0,1,11,0,0,15,2,2,1,0.200,0.277,0.220,0.497,0.244,43.3,
1988,해태 타이거즈,김일환,1B,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1988,빙그레 이글스,송일섭,CF,0.47,43,138,112,12,22,1,1,2,31,14,0,1,16,9,0,16,3,1,0,0.196,0.343,0.277,0.620,0.308,87.5,
1988,해태 타이거즈,송일섭,CF,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,-124.4,
1990,OB 베어스,김호근,C,-0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,0.000,-130.0,
1991,쌍방울 레이더스,이상대,,0.40,57,188,177,17,46,5,4,1,62,9,2,1,8,0,2,26,3,2,1,0.260,0.290,0.350,0.641,0.290,74.5,
1991,태평양 돌핀스,이상대,CF,-0.04,4,9,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0.211,18.6,
1992,태평양 돌핀스,윤덕규,LF,1.98,59,247,229,30,72,15,3,7,114,34,5,1,14,2,0,38,5,0,2,0.314,0.356,0.498,0.854,0.383,131.1,
1992,LG 트윈스,윤덕규,,0.92,57,190,161,19,45,9,0,1,57,18,1,3,26,0,0,29,5,0,3,0.280,0.374,0.354,0.728,0.346,106.1,
1993,태평양 돌핀스,구윤,RF,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1993,삼성 라이온즈,구윤,,-0.91,60,140,128,7,16,3,1,0,21,11,0,1,10,1,1,53,1,0,1,0.125,0.193,0.164,0.357,0.175,2.0,
1993,삼성 라이온즈,박선일,C,0.29,45,87,79,0,23,3,0,0,26,6,1,0,0,0,0,0,0,0,0,0.291,0.291,0.329,0.620,0.266,67.3,
1993,빙그레 이글스,박선일,C,0.12,6,8,7,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.429,0.429,0.571,1.000,0.409,170.1,
1994,쌍방울 레이더스,장채근,C,-0.30,16,24,23,0,2,0,0,0,2,0,0,1,1,0,0,5,1,0,0,0.087,0.125,0.087,0.212,0.108,-47.9,
1994,해태 타이거즈,장채근,C,-0.15,14,32,31,1,4,0,0,1,7,4,0,0,1,0,0,5,0,0,0,0.129,0.156,0.226,0.382,0.178,3.1,
1994,해태 타이거즈,최해식,C,0.04,12,18,16,2,5,0,0,0,5,3,0,0,1,1,0,5,1,0,0,0.313,0.389,0.313,0.701,0.343,116.7,
1994,쌍방울 레이더스,최해식,C,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1995,OB 베어스,전형도,2B,-0.07,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,-127.9,
1995,한화 이글스,전형도,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1995,한화 이글스,조경택,C,0.19,26,41,32,2,7,1,0,0,8,2,0,0,3,4,0,7,1,1,1,0.219,0.350,0.250,0.600,0.292,85.4,
1995,OB 베어스,조경택,C,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1996,삼성 라이온즈,김태룡,SS,-0.01,5,10,7,1,1,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0.143,0.333,0.143,0.476,0.235,44.1,
1996,해태 타이거즈,김태룡,SS,-0.06,15,20,20,4,4,1,0,0,5,3,0,0,0,0,0,3,1,1,0,0.200,0.200,0.250,0.450,0.208,24.5,
1996,삼성 라이온즈,동봉철,LF,0.04,18,47,39,5,6,1,1,0,9,2,2,0,7,1,0,8,0,0,0,0.154,0.298,0.231,0.529,0.265,64.6,
1996,해태 타이거즈,동봉철,LF,0.60,83,271,225,32,42,11,3,3,68,17,13,0,28,8,1,30,0,9,1,0.187,0.298,0.302,0.600,0.277,72.1,
1996,삼성 라이온즈,이병훈,RF,-0.02,57,129,120,11,28,3,0,3,40,13,0,2,6,1,1,23,3,2,0,0.233,0.276,0.333,0.609,0.277,72.5,
1996,해태 타이거즈,이병훈,,-0.00,8,11,11,1,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0.273,0.273,0.273,0.546,0.257,58.3,
1996,LG 트윈스,황대연,3B,0.26,77,193,176,15,36,5,0,4,53,23,0,0,13,3,0,43,5,1,1,0.205,0.269,0.301,0.571,0.270,65.9,
1996,한화 이글스,황대연,3B,-0.13,8,10,9,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0.111,0.111,0.111,0.222,0.094,-57.9,
1997,현대 유니콘스,김광림,,2.11,78,308,272,36,81,10,4,2,105,27,8,6,30,1,1,38,2,3,1,0.298,0.368,0.386,0.755,0.344,114.5,
1997,쌍방울 레이더스,김광림,CF,0.28,39,88,74,7,20,4,1,0,26,5,1,3,9,0,0,6,1,3,2,0.270,0.341,0.351,0.693,0.310,90.4,
1997,쌍방울 레이더스,김충민,C,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1997,한화 이글스,김충민,C,-0.03,58,150,142,8,33,8,0,1,44,11,1,3,2,1,0,31,4,5,0,0.232,0.248,0.310,0.558,0.247,47.6,
1998,쌍방울 레이더스,김실,LF,1.68,81,323,287,46,83,16,2,4,115,33,4,4,29,2,0,31,5,3,2,0.289,0.356,0.401,0.757,0.341,113.5,
1998,OB 베어스,김실,LF,-0.48,46,190,168,21,33,1,1,0,36,12,7,2,18,3,0,22,2,0,1,0.196,0.284,0.214,0.499,0.244,43.4,
1998,한화 이글스,동봉철,CF,0.33,64,180,139,22,28,4,0,3,41,17,2,6,26,6,1,21,2,7,2,0.201,0.347,0.295,0.642,0.294,80.9,
1998,LG 트윈스,동봉철,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1998,LG 트윈스,안상준,3B,-0.17,29,20,17,3,2,0,0,0,2,0,0,0,1,1,0,5,0,1,0,0.118,0.211,0.118,0.328,0.164,-14.2,
1998,해태 타이거즈,안상준,3B,-0.07,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.143,0.143,0.143,0.286,0.132,-31.5,
1998,현대 유니콘스,최창호,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1998,LG 트윈스,최창호,P,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1999,한화 이글스,김경원,P,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1999,두산 베어스,김경원,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1999,쌍방울 레이더스,박계원,SS,-0.15,6,11,11,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0.091,0.091,0.091,0.182,0.084,-74.6,
1999,해태 타이거즈,박계원,2B,0.60,118,380,326,43,84,14,1,5,115,43,3,5,31,7,0,56,6,11,5,0.258,0.331,0.353,0.683,0.304,73.3,
1999,쌍방울 레이더스,박재용,RF,-0.43,95,330,296,31,69,16,1,3,96,36,8,2,26,2,0,57,8,4,2,0.233,0.298,0.324,0.622,0.282,57.7,
1999,해태 타이거즈,박재용,RF,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1999,해태 타이거즈,송구홍,3B,-0.17,8,11,11,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.091,0.091,0.091,0.182,0.084,-69.6,
1999,쌍방울 레이더스,송구홍,3B,-0.93,78,267,241,29,51,8,0,1,62,18,6,4,11,7,0,35,3,8,0,0.212,0.266,0.257,0.524,0.240,29.6,
1999,한화 이글스,전상렬,,-0.19,11,11,9,2,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0.000,0.100,0.000,0.100,0.066,-80.5,
1999,두산 베어스,전상렬,LF,0.20,52,61,56,13,15,3,1,3,29,11,2,1,2,1,0,10,2,2,0,0.268,0.305,0.518,0.823,0.337,94.9,
1999,삼성 라이온즈,진갑용,C,0.31,33,106,99,8,26,2,0,3,37,15,0,1,4,2,0,17,2,0,1,0.263,0.302,0.374,0.676,0.302,72.0,
1999,두산 베어스,진갑용,C,-0.49,35,66,57,5,7,1,0,1,11,2,0,1,6,0,0,12,5,2,1,0.123,0.203,0.193,0.396,0.184,-10.4,
1999,한화 이글스,홍원기,3B,-0.28,17,28,24,2,2,1,0,0,3,1,0,0,2,1,0,7,1,0,1,0.083,0.179,0.125,0.304,0.157,-21.9,
1999,두산 베어스,홍원기,3B,-0.15,81,105,94,12,17,5,0,4,34,12,0,0,9,1,1,23,4,1,0,0.181,0.260,0.362,0.621,0.267,46.8,
2000,현대 유니콘스,김경기,1B,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2000,SK 와이번스,김경기,1B,0.95,49,177,142,19,40,5,0,4,57,21,2,2,29,4,0,24,4,2,0,0.282,0.417,0.401,0.819,0.378,125.1,
2000,해태 타이거즈,김호,SS,0.89,79,216,184,32,46,13,0,3,68,17,4,1,24,0,0,51,5,6,2,0.250,0.333,0.370,0.703,0.313,81.7,
2000,SK 와이번스,김호,SS,-0.19,13,20,15,0,1,0,0,0,1,0,0,0,3,0,0,6,1,2,0,0.067,0.222,0.067,0.289,0.155,-24.3,
2000,SK 와이번스,박계원,SS,-0.10,72,158,138,20,27,3,1,2,38,24,6,2,12,3,0,26,2,3,2,0.196,0.271,0.275,0.546,0.252,40.4,
2000,해태 타이거즈,박계원,SS,-0.26,37,101,94,10,19,3,0,1,25,8,1,1,6,0,0,16,5,1,0,0.202,0.250,0.266,0.516,0.238,31.8,
2000,해태 타이거즈,이호준,RF,-0.35,18,40,35,2,4,1,0,0,5,0,0,0,5,0,0,10,3,0,0,0.114,0.225,0.143,0.368,0.192,1.0,
2000,SK 와이번스,이호준,1B,0.52,43,169,155,21,40,8,0,10,78,25,1,0,7,4,0,35,6,3,0,0.258,0.307,0.503,0.811,0.345,102.7,
2001,SK 와이번스,안재만,3B,1.90,109,407,346,49,90,14,0,11,137,42,18,5,43,6,0,84,14,11,1,0.260,0.351,0.396,0.747,0.337,92.0,
2001,LG 트윈스,안재만,3B,0.06,15,31,23,3,4,1,0,0,5,2,1,0,7,0,0,6,0,1,0,0.174,0.367,0.217,0.584,0.300,66.0,
2001,SK 와이번스,양현석,LF,0.11,79,245,215,21,50,10,1,7,83,30,2,3,25,1,1,42,5,2,2,0.233,0.313,0.386,0.699,0.315,77.2,
2001,해태/KIA,양현석,,0.87,34,89,74,13,21,6,1,4,41,14,1,1,10,4,1,16,4,1,0,0.284,0.398,0.554,0.952,0.413,141.6,
2001,LG 트윈스,장재중,C,-0.48,84,208,182,21,36,4,1,1,45,14,4,4,17,1,0,32,8,7,1,0.198,0.269,0.247,0.516,0.242,26.9,
2001,SK 와이번스,장재중,C,-0.07,10,16,14,1,2,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0.143,0.250,0.143,0.393,0.210,7.6,
2001,현대 유니콘스,정현택,1B,-0.10,21,38,35,5,8,0,0,1,11,4,0,0,3,0,0,7,3,0,0,0.229,0.290,0.314,0.604,0.284,56.3,
2001,LG 트윈스,정현택,1B,-0.07,9,9,8,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0.125,0.222,0.250,0.472,0.225,15.3,
2001,LG 트윈스,허문회,1B,-0.26,20,27,26,1,5,0,0,0,5,1,0,0,1,0,0,3,0,0,0,0.192,0.222,0.192,0.415,0.202,-0.3,
2001,롯데 자이언츠,허문회,1B,0.18,31,64,49,9,15,2,0,0,17,10,0,1,10,1,0,3,1,1,3,0.306,0.413,0.347,0.760,0.359,106.6,
2002,SK 와이번스,윤재국,LF,0.08,17,18,15,2,3,1,1,0,6,3,2,0,3,0,1,6,0,0,0,0.200,0.333,0.400,0.733,0.306,84.1,
2002,롯데 자이언츠,윤재국,RF,-0.35,15,28,25,1,2,0,0,0,2,0,0,0,3,0,0,6,0,0,0,0.080,0.179,0.080,0.259,0.141,-31.9,
2002,KIA 타이거즈,장정석,2B,-0.09,63,108,94,10,21,4,0,1,28,7,5,2,8,1,2,17,1,4,1,0.223,0.289,0.298,0.586,0.252,47.1,
2002,현대 유니콘스,장정석,,0.00,12,8,8,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.375,0.625,0.274,62.4,
2002,SK 와이번스,조경환,LF,0.07,28,63,55,8,12,4,2,1,23,8,0,1,5,1,0,19,1,2,0,0.218,0.295,0.418,0.713,0.304,82.6,
2002,롯데 자이언츠,조경환,LF,0.43,65,247,225,29,48,11,1,12,97,25,0,0,15,5,1,80,1,0,2,0.213,0.275,0.431,0.706,0.305,83.8,
2002,현대 유니콘스,최익성,RF,0.36,42,94,74,10,21,1,0,1,25,8,2,1,11,4,1,15,0,3,2,0.284,0.396,0.338,0.733,0.330,101.2,
2002,KIA 타이거즈,최익성,RF,-0.02,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,-128.6,
2003,한화 이글스,고지행,2B,-0.16,4,13,11,0,1,0,0,0,1,0,0,0,1,0,0,5,1,1,0,0.091,0.167,0.091,0.258,0.127,-45.0,
2003,삼성 라이온즈,고지행,2B,1.03,88,276,242,38,70,9,0,4,91,27,9,5,19,2,0,56,7,11,2,0.289,0.343,0.376,0.719,0.319,86.9,
2003,롯데 자이언츠,박연수,RF,0.49,72,218,193,22,48,11,0,6,77,26,0,3,19,4,0,55,3,1,1,0.249,0.327,0.399,0.726,0.329,94.1,
